Date;Open;High;Low;Close;Pivot;Resistance 1;Support 1;Resistance 2;Support 2;Resistance 3;Support 3;CPR Pivot;CPR BC;CPR TC
Fri Sep 27 2024 10:19:00 GMT+0530 (India Standard Time);54.7;54.8;53.6;53.8;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:20:00 GMT+0530 (India Standard Time);53.9;54.75;53.1;53.95;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:21:00 GMT+0530 (India Standard Time);53.95;55.05;53.5;54.35;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:22:00 GMT+0530 (India Standard Time);54.35;54.55;53.85;54.05;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:23:00 GMT+0530 (India Standard Time);53.85;55.55;53.5;55.45;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:24:00 GMT+0530 (India Standard Time);55.4;56.1;55.3;55.85;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:25:00 GMT+0530 (India Standard Time);55.7;56.95;55.7;55.7;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:26:00 GMT+0530 (India Standard Time);55.65;56.55;55.35;55.7;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:27:00 GMT+0530 (India Standard Time);55.6;56.35;55.5;56.2;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:28:00 GMT+0530 (India Standard Time);56.1;56.75;55.85;55.85;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:29:00 GMT+0530 (India Standard Time);55.85;57.15;55.1;56.25;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:30:00 GMT+0530 (India Standard Time);56.35;58.95;56.3;57.05;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:31:00 GMT+0530 (India Standard Time);57.05;57.2;54.8;55.65;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:32:00 GMT+0530 (India Standard Time);55.7;56.1;55;55.4;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:33:00 GMT+0530 (India Standard Time);55.5;55.75;54.65;55.65;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:34:00 GMT+0530 (India Standard Time);55.65;55.9;55.2;55.7;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:35:00 GMT+0530 (India Standard Time);55.6;56.7;55.45;56.45;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:36:00 GMT+0530 (India Standard Time);56.5;57.05;56.35;56.75;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:37:00 GMT+0530 (India Standard Time);56.6;56.8;55.7;55.9;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:38:00 GMT+0530 (India Standard Time);56;56.65;55.5;55.95;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
Fri Sep 27 2024 10:39:00 GMT+0530 (India Standard Time);55.95;56.4;55.8;56.2;40.37;58.48;21.33;77.52;3.22;114.67;-33.93;40.37;40.83;39.91
